,index,video_id,url,caption,queries,duration_sec
10,3,Mossc46lLTQ.mp4,https://www.youtube.com/watch?v=Mossc46lLTQ,"The video features a male figure in a white suit walking confidently on what appears to be a red carpet. He is the central focus, moving from left to right across the frame. The background includes other individuals dressed in black and casual attire, suggesting an event with multiple attendees. There's lush greenery behind them, indicating an outdoor setting possibly within a garden or park area. A building structure can also be seen in the distance under clear skies. As he walks, his posture remains upright, exuding confidence. In one of the frames, text overlay reads 'What's up?' which adds a conversational element to the scene.",confident man walking red carpet outdoor event,9
11,3,Mossc46lLTQ.mp4,https://www.youtube.com/watch?v=Mossc46lLTQ,"The video features a male figure in a white suit walking confidently on what appears to be a red carpet. He is the central focus, moving from left to right across the frame. The background includes other individuals dressed in black and casual attire, suggesting an event with multiple attendees. There's lush greenery behind them, indicating an outdoor setting possibly within a garden or park area. A building structure can also be seen in the distance under clear skies. As he walks, his posture remains upright, exuding confidence. In one of the frames, text overlay reads 'What's up?' which adds a conversational element to the scene.",celebrity walking red carpet says what's up,9
12,4,yhiZnXMu4Tg.mp4,https://www.youtube.com/watch?v=yhiZnXMu4Tg,"The video begins with a close-up of a glowing blue cube, transitioning to an intense green light emanating from within. A person in dark clothing is shown holding the glowing object, followed by another individual wearing a red and gold armored suit. The scene shifts to a hand holding a small orange gem against a dark background, then to a woman reaching out towards a bright, fiery orb amidst swirling purple lights. Next, two individuals are seen interacting in a dimly lit environment filled with floating orbs. The focus returns to the man in the armored suit as he stands alone in darkness. Finally, we see a close-up of his neck adorned with a glowing red collar, indicating some form of control or power over the objects around him.\n\nIn the next sequence, there's a detailed view of various colorful gems on a tray, including red, yellow, and green stones, alongside tools like scissors and needles. This suggests preparation for crafting or manipulation of these items. The camera pans across the tray, highlighting each gem's unique color and shape. Following this, a person in a beige shirt with a red glow around their neck appears focused on something off-screen, possibly manipulating the glowing objects. The final frame shows them still engaged in whatever task they're performing, emphasizing concentration and purposeful action.",infinity stones marvel explained,57
13,4,yhiZnXMu4Tg.mp4,https://www.youtube.com/watch?v=yhiZnXMu4Tg,"The video begins with a close-up of a glowing blue cube, transitioning to an intense green light emanating from within. A person in dark clothing is shown holding the glowing object, followed by another individual wearing a red and gold armored suit. The scene shifts to a hand holding a small orange gem against a dark background, then to a woman reaching out towards a bright, fiery orb amidst swirling purple lights. Next, two individuals are seen interacting in a dimly lit environment filled with floating orbs. The focus returns to the man in the armored suit as he stands alone in darkness. Finally, we see a close-up of his neck adorned with a glowing red collar, indicating some form of control or power over the objects around him.\n\nIn the next sequence, there's a detailed view of various colorful gems on a tray, including red, yellow, and green stones, alongside tools like scissors and needles. This suggests preparation for crafting or manipulation of these items. The camera pans across the tray, highlighting each gem's unique color and shape. Following this, a person in a beige shirt with a red glow around their neck appears focused on something off-screen, possibly manipulating the glowing objects. The final frame shows them still engaged in whatever task they're performing, emphasizing concentration and purposeful action.",iron man arc reactor glowing neck control,57
14,4,yhiZnXMu4Tg.mp4,https://www.youtube.com/watch?v=yhiZnXMu4Tg,"The video begins with a close-up of a glowing blue cube, transitioning to an intense green light emanating from within. A person in dark clothing is shown holding the glowing object, followed by another individual wearing a red and gold armored suit. The scene shifts to a hand holding a small orange gem against a dark background, then to a woman reaching out towards a bright, fiery orb amidst swirling purple lights. Next, two individuals are seen interacting in a dimly lit environment filled with floating orbs. The focus returns to the man in the armored suit as he stands alone in darkness. Finally, we see a close-up of his neck adorned with a glowing red collar, indicating some form of control or power over the objects around him.\n\nIn the next sequence, there's a detailed view of various colorful gems on a tray, including red, yellow, and green stones, alongside tools like scissors and needles. This suggests preparation for crafting or manipulation of these items. The camera pans across the tray, highlighting each gem's unique color and shape. Following this, a person in a beige shirt with a red glow around their neck appears focused on something off-screen, possibly manipulating the glowing objects. The final frame shows them still engaged in whatever task they're performing, emphasizing concentration and purposeful action.",marvel gems and glowing objects manipulation scene,57
15,5,pLZGtOiV0C0.mp4,https://www.youtube.com/watch?v=pLZGtOiV0C0,"The video features a conversation between two individuals in an indoor setting, likely a bar or club with dim lighting and ambient music. The person on the left is wearing a sleeveless top, while the one on the right wears a dark shirt. They are seated at a table with drinks, indicating a relaxed social atmosphere. The dialogue revolves around a past event involving a woman named Charlie who was involved in a relationship with someone named David. The speaker expresses regret for not being able to attend that event due to work commitments. There's also mention of another individual named Eddie, whose name is mentioned twice but not explained further. The overall tone seems reflective and somewhat melancholic, as indicated by the voice-over discussing missed opportunities and personal regrets.",charlie and david relationship conversation scene,41
16,5,pLZGtOiV0C0.mp4,https://www.youtube.com/watch?v=pLZGtOiV0C0,"The video features a conversation between two individuals in an indoor setting, likely a bar or club with dim lighting and ambient music. The person on the left is wearing a sleeveless top, while the one on the right wears a dark shirt. They are seated at a table with drinks, indicating a relaxed social atmosphere. The dialogue revolves around a past event involving a woman named Charlie who was involved in a relationship with someone named David. The speaker expresses regret for not being able to attend that event due to work commitments. There's also mention of another individual named Eddie, whose name is mentioned twice but not explained further. The overall tone seems reflective and somewhat melancholic, as indicated by the voice-over discussing missed opportunities and personal regrets.",marvel agents of shield bar scene eddie,41
17,5,pLZGtOiV0C0.mp4,https://www.youtube.com/watch?v=pLZGtOiV0C0,"The video features a conversation between two individuals in an indoor setting, likely a bar or club with dim lighting and ambient music. The person on the left is wearing a sleeveless top, while the one on the right wears a dark shirt. They are seated at a table with drinks, indicating a relaxed social atmosphere. The dialogue revolves around a past event involving a woman named Charlie who was involved in a relationship with someone named David. The speaker expresses regret for not being able to attend that event due to work commitments. There's also mention of another individual named Eddie, whose name is mentioned twice but not explained further. The overall tone seems reflective and somewhat melancholic, as indicated by the voice-over discussing missed opportunities and personal regrets.",agents of shield regret missed event dialogue,41
18,6,X1fnWZd3TlA.mp4,https://www.youtube.com/watch?v=X1fnWZd3TlA,"The scene takes place in a dimly lit room with warm lighting, creating an intimate atmosphere. A character is seen holding a walkie-talkie and speaking into it, indicating communication or command. The environment suggests secrecy or urgency, possibly related to the plot of 'Daredevil Born Again'. There's tension as another person approaches cautiously from behind, suggesting a confrontation or mission briefing. The characters are dressed formally; one wears a suit while the other has on casual attire. The setting appears to be indoors, likely within a building given the presence of walls and doorways. Objects like the walkie-talkie and the individuals' clothing add to the narrative context of espionage or covert operations.",daredevil born again walkie talkie scene,30
19,6,X1fnWZd3TlA.mp4,https://www.youtube.com/watch?v=X1fnWZd3TlA,"The scene takes place in a dimly lit room with warm lighting, creating an intimate atmosphere. A character is seen holding a walkie-talkie and speaking into it, indicating communication or command. The environment suggests secrecy or urgency, possibly related to the plot of 'Daredevil Born Again'. There's tension as another person approaches cautiously from behind, suggesting a confrontation or mission briefing. The characters are dressed formally; one wears a suit while the other has on casual attire. The setting appears to be indoors, likely within a building given the presence of walls and doorways. Objects like the walkie-talkie and the individuals' clothing add to the narrative context of espionage or covert operations.",daredevil born again bts tense conversation,30
20,6,X1fnWZd3TlA.mp4,https://www.youtube.com/watch?v=X1fnWZd3TlA,"The scene takes place in a dimly lit room with warm lighting, creating an intimate atmosphere. A character is seen holding a walkie-talkie and speaking into it, indicating communication or command. The environment suggests secrecy or urgency, possibly related to the plot of 'Daredevil Born Again'. There's tension as another person approaches cautiously from behind, suggesting a confrontation or mission briefing. The characters are dressed formally; one wears a suit while the other has on casual attire. The setting appears to be indoors, likely within a building given the presence of walls and doorways. Objects like the walkie-talkie and the individuals' clothing add to the narrative context of espionage or covert operations.",daredevil born again secret meeting indoor scene,30
21,7,6k8A1ekm7nc.mp4,https://www.youtube.com/watch?v=6k8A1ekm7nc,"The video opens with a close-up of hands wearing black gloves, picking up blueberries from a wooden surface. The scene transitions to an outdoor setting where the same person is seen in casual attire, including a dark jacket and cap, standing near a red structure that could be part of a food stall or market area. A sign reading 'CHAU' (goodbye) appears briefly before returning to the individual who seems to be engaged in conversation or observing something off-camera. The background includes other people and structures typical of a busy urban environment. The focus shifts between the person's upper body and their surroundings, showing glimpses of various objects like a newspaper, a lollipop, and colorful items on display at a nearby stand. The lighting suggests daytime, and the overall atmosphere is bustling yet calm.",person picking blueberries and walking outside,59
22,7,6k8A1ekm7nc.mp4,https://www.youtube.com/watch?v=6k8A1ekm7nc,"The video opens with a close-up of hands wearing black gloves, picking up blueberries from a wooden surface. The scene transitions to an outdoor setting where the same person is seen in casual attire, including a dark jacket and cap, standing near a red structure that could be part of a food stall or market area. A sign reading 'CHAU' (goodbye) appears briefly before returning to the individual who seems to be engaged in conversation or observing something off-camera. The background includes other people and structures typical of a busy urban environment. The focus shifts between the person's upper body and their surroundings, showing glimpses of various objects like a newspaper, a lollipop, and colorful items on display at a nearby stand. The lighting suggests daytime, and the overall atmosphere is bustling yet calm.",man in black gloves and red stall area,59
23,7,6k8A1ekm7nc.mp4,https://www.youtube.com/watch?v=6k8A1ekm7nc,"The video opens with a close-up of hands wearing black gloves, picking up blueberries from a wooden surface. The scene transitions to an outdoor setting where the same person is seen in casual attire, including a dark jacket and cap, standing near a red structure that could be part of a food stall or market area. A sign reading 'CHAU' (goodbye) appears briefly before returning to the individual who seems to be engaged in conversation or observing something off-camera. The background includes other people and structures typical of a busy urban environment. The focus shifts between the person's upper body and their surroundings, showing glimpses of various objects like a newspaper, a lollipop, and colorful items on display at a nearby stand. The lighting suggests daytime, and the overall atmosphere is bustling yet calm.",urban scene with blueberries and chau sign,59
24,8,7PRvKdA6Ypw.mp4,https://www.youtube.com/watch?v=7PRvKdA6Ypw,"The video opens with a close-up of a person in distress, followed by text overlays that suggest the theme is about 'lightning bolts' and 'thunderbolts.' The scene shifts to an office setting where someone sits on a chair while another stands nearby. A metallic object resembling a bolt appears against a yellow background, hinting at its significance. The next frame shows a chaotic cityscape with people running, indicating urgency or danger. Another shot depicts a character in a white lab coat eating from a plate amidst messy surroundings, suggesting a moment of distraction or carelessness. Subsequent frames show individuals standing together in what seems like a serious discussion, possibly related to the previous scenes. The final frame features a character in a suit flying through the air, implying action or escape.",thunderbolts marvel trailer explained,37
25,8,7PRvKdA6Ypw.mp4,https://www.youtube.com/watch?v=7PRvKdA6Ypw,"The video opens with a close-up of a person in distress, followed by text overlays that suggest the theme is about 'lightning bolts' and 'thunderbolts.' The scene shifts to an office setting where someone sits on a chair while another stands nearby. A metallic object resembling a bolt appears against a yellow background, hinting at its significance. The next frame shows a chaotic cityscape with people running, indicating urgency or danger. Another shot depicts a character in a white lab coat eating from a plate amidst messy surroundings, suggesting a moment of distraction or carelessness. Subsequent frames show individuals standing together in what seems like a serious discussion, possibly related to the previous scenes. The final frame features a character in a suit flying through the air, implying action or escape.",marvel thunderbolts lightning bolt scene,37
26,8,7PRvKdA6Ypw.mp4,https://www.youtube.com/watch?v=7PRvKdA6Ypw,"The video opens with a close-up of a person in distress, followed by text overlays that suggest the theme is about 'lightning bolts' and 'thunderbolts.' The scene shifts to an office setting where someone sits on a chair while another stands nearby. A metallic object resembling a bolt appears against a yellow background, hinting at its significance. The next frame shows a chaotic cityscape with people running, indicating urgency or danger. Another shot depicts a character in a white lab coat eating from a plate amidst messy surroundings, suggesting a moment of distraction or carelessness. Subsequent frames show individuals standing together in what seems like a serious discussion, possibly related to the previous scenes. The final frame features a character in a suit flying through the air, implying action or escape.",marvel thunderbolts chaotic cityscape running people,37
27,9,Cd8XxwJrKy4.mp4,https://www.youtube.com/watch?v=Cd8XxwJrKy4,"The video opens with a close-up of hands working on a machine, transitioning to an outdoor scene where two individuals are seen in a futuristic setting. The focus shifts to a person wearing a helmet and suit, followed by another individual holding a weapon amidst chaos. A montage shows various scenes including intense action sequences, explosions, and characters engaged in combat. There's also footage of people conversing indoors, one character speaking into a microphone while others listen attentively. The environment is dynamic, filled with bright lights and fast-paced movements. Objects like weapons, helmets, and machinery dominate the visual palette, suggesting a high-tech or science fiction theme. Colors range from warm yellows and oranges to cool blues and reds, adding depth to the visuals.",sci fi action movie futuristic combat,37
28,9,Cd8XxwJrKy4.mp4,https://www.youtube.com/watch?v=Cd8XxwJrKy4,"The video opens with a close-up of hands working on a machine, transitioning to an outdoor scene where two individuals are seen in a futuristic setting. The focus shifts to a person wearing a helmet and suit, followed by another individual holding a weapon amidst chaos. A montage shows various scenes including intense action sequences, explosions, and characters engaged in combat. There's also footage of people conversing indoors, one character speaking into a microphone while others listen attentively. The environment is dynamic, filled with bright lights and fast-paced movements. Objects like weapons, helmets, and machinery dominate the visual palette, suggesting a high-tech or science fiction theme. Colors range from warm yellows and oranges to cool blues and reds, adding depth to the visuals.",halo infinite gameplay footage and cutscenes,37
29,9,Cd8XxwJrKy4.mp4,https://www.youtube.com/watch?v=Cd8XxwJrKy4,"The video opens with a close-up of hands working on a machine, transitioning to an outdoor scene where two individuals are seen in a futuristic setting. The focus shifts to a person wearing a helmet and suit, followed by another individual holding a weapon amidst chaos. A montage shows various scenes including intense action sequences, explosions, and characters engaged in combat. There's also footage of people conversing indoors, one character speaking into a microphone while others listen attentively. The environment is dynamic, filled with bright lights and fast-paced movements. Objects like weapons, helmets, and machinery dominate the visual palette, suggesting a high-tech or science fiction theme. Colors range from warm yellows and oranges to cool blues and reds, adding depth to the visuals.",futuristic soldiers fighting with weapons and explosions,37
30,10,b0xqSaMj4L8.mp4,https://www.youtube.com/watch?v=b0xqSaMj4L8,"The video clip opens with a chaotic urban environment where multiple characters are engaged in combat. The setting is dark and gritty, filled with debris and destruction from explosions. Characters like Spider-Man, Iron Man, and other armored figures are seen fighting against robotic adversaries. There's an intense battle scene involving the Avengers as they clash with the robots. A character named 'Spider' appears to be controlling or commanding the action. The lighting varies from bright flashes of energy to dimly lit areas, emphasizing the high-stakes nature of the fight. Explosions and gunfire add to the chaos. In one frame, a character is shown flying through the air amidst rubble and fire. Another frame features a character standing confidently on a rooftop at night, surrounded by flames and smoke.",avengers vs robots intense battle scene,51
31,10,b0xqSaMj4L8.mp4,https://www.youtube.com/watch?v=b0xqSaMj4L8,"The video clip opens with a chaotic urban environment where multiple characters are engaged in combat. The setting is dark and gritty, filled with debris and destruction from explosions. Characters like Spider-Man, Iron Man, and other armored figures are seen fighting against robotic adversaries. There's an intense battle scene involving the Avengers as they clash with the robots. A character named 'Spider' appears to be controlling or commanding the action. The lighting varies from bright flashes of energy to dimly lit areas, emphasizing the high-stakes nature of the fight. Explosions and gunfire add to the chaos. In one frame, a character is shown flying through the air amidst rubble and fire. Another frame features a character standing confidently on a rooftop at night, surrounded by flames and smoke.",iron man and spiderman fighting robots marvel,51
32,10,b0xqSaMj4L8.mp4,https://www.youtube.com/watch?v=b0xqSaMj4L8,"The video clip opens with a chaotic urban environment where multiple characters are engaged in combat. The setting is dark and gritty, filled with debris and destruction from explosions. Characters like Spider-Man, Iron Man, and other armored figures are seen fighting against robotic adversaries. There's an intense battle scene involving the Avengers as they clash with the robots. A character named 'Spider' appears to be controlling or commanding the action. The lighting varies from bright flashes of energy to dimly lit areas, emphasizing the high-stakes nature of the fight. Explosions and gunfire add to the chaos. In one frame, a character is shown flying through the air amidst rubble and fire. Another frame features a character standing confidently on a rooftop at night, surrounded by flames and smoke.",avengers endgame spider commanding robots rooftop fight,51
33,11,1tnP1C3nX2k.mp4,https://www.youtube.com/watch?v=1tnP1C3nX2k,"The video features a series of intense and dramatic scenes from the Marvel Cinematic Universe. It begins with a character in a red suit, possibly Iron Man, standing against a dark background with text overlays indicating a conversation about America's role in the universe. The scene shifts to another character wearing a black helmet with intricate designs, suggesting a moment of contemplation or confrontation. A close-up follows of an individual in a blue uniform adorned with silver stars, hinting at a formal or authoritative position within the narrative. Subsequent frames show characters in various costumes, including one in a metallic suit with glowing elements, implying advanced technology and power. Another frame shows a character in a black armored suit with gold accents, emphasizing strength and readiness for action. The final segment depicts a character in a white outfit walking confidently through what appears to be a high-tech environment, followed by a close-up of feet clad in sandals on a gray floor, adding to the sense of movement and urgency.",marvel cinematic universe dramatic moments compilation,50
34,11,1tnP1C3nX2k.mp4,https://www.youtube.com/watch?v=1tnP1C3nX2k,"The video features a series of intense and dramatic scenes from the Marvel Cinematic Universe. It begins with a character in a red suit, possibly Iron Man, standing against a dark background with text overlays indicating a conversation about America's role in the universe. The scene shifts to another character wearing a black helmet with intricate designs, suggesting a moment of contemplation or confrontation. A close-up follows of an individual in a blue uniform adorned with silver stars, hinting at a formal or authoritative position within the narrative. Subsequent frames show characters in various costumes, including one in a metallic suit with glowing elements, implying advanced technology and power. Another frame shows a character in a black armored suit with gold accents, emphasizing strength and readiness for action. The final segment depicts a character in a white outfit walking confidently through what appears to be a high-tech environment, followed by a close-up of feet clad in sandals on a gray floor, adding to the sense of movement and urgency.",iron man america's role in the universe scene,50
35,11,1tnP1C3nX2k.mp4,https://www.youtube.com/watch?v=1tnP1C3nX2k,"The video features a series of intense and dramatic scenes from the Marvel Cinematic Universe. It begins with a character in a red suit, possibly Iron Man, standing against a dark background with text overlays indicating a conversation about America's role in the universe. The scene shifts to another character wearing a black helmet with intricate designs, suggesting a moment of contemplation or confrontation. A close-up follows of an individual in a blue uniform adorned with silver stars, hinting at a formal or authoritative position within the narrative. Subsequent frames show characters in various costumes, including one in a metallic suit with glowing elements, implying advanced technology and power. Another frame shows a character in a black armored suit with gold accents, emphasizing strength and readiness for action. The final segment depicts a character in a white outfit walking confidently through what appears to be a high-tech environment, followed by a close-up of feet clad in sandals on a gray floor, adding to the sense of movement and urgency.",marvel hero armored suit gold accents fight,50
36,12,7zijauJVnZE.mp4,https://www.youtube.com/watch?v=7zijauJVnZE,"The video features a tense conversation between two characters, one with long dark hair and the other with blonde hair. The setting appears to be indoors at night or in a dimly lit room, suggesting an intimate yet serious atmosphere. The character with dark hair is seen holding a bottle of sauce, indicating they might have been cooking or preparing something. They express concern about their friend's well-being after learning that someone named Yelena made macaroni for them. The blonde-haired character responds by saying they wanted to make food but realized it was too late due to hunger. This leads to a discussion about whether they should fight over the remaining food, which seems to be a source of tension between them.",yelena belova natasha romanoff macaroni scene,52
37,12,7zijauJVnZE.mp4,https://www.youtube.com/watch?v=7zijauJVnZE,"The video features a tense conversation between two characters, one with long dark hair and the other with blonde hair. The setting appears to be indoors at night or in a dimly lit room, suggesting an intimate yet serious atmosphere. The character with dark hair is seen holding a bottle of sauce, indicating they might have been cooking or preparing something. They express concern about their friend's well-being after learning that someone named Yelena made macaroni for them. The blonde-haired character responds by saying they wanted to make food but realized it was too late due to hunger. This leads to a discussion about whether they should fight over the remaining food, which seems to be a source of tension between them.",thunderbolts yelena and natasha food fight discussion,52
38,12,7zijauJVnZE.mp4,https://www.youtube.com/watch?v=7zijauJVnZE,"The video features a tense conversation between two characters, one with long dark hair and the other with blonde hair. The setting appears to be indoors at night or in a dimly lit room, suggesting an intimate yet serious atmosphere. The character with dark hair is seen holding a bottle of sauce, indicating they might have been cooking or preparing something. They express concern about their friend's well-being after learning that someone named Yelena made macaroni for them. The blonde-haired character responds by saying they wanted to make food but realized it was too late due to hunger. This leads to a discussion about whether they should fight over the remaining food, which seems to be a source of tension between them.",marvel bts natasha and yelena cooking scene,52
39,13,QKxlWloBW2o.mp4,https://www.youtube.com/watch?v=QKxlWloBW2o,"The video features a person in a dark blue shirt sitting at a desk with a tablet and keyboard, drawing on the screen. The environment is an indoor setting with bookshelves filled with various books in the background. Initially, the person sketches a character's face using black ink, adding details like hair texture and facial features. They then draw another character's head and neck, focusing on shading to create depth. Throughout these scenes, the lighting remains consistent, highlighting the workspace and the artist's hand movements as they work. In one frame, text appears over the image of the sketching process, possibly indicating steps or tips for drawing. Towards the end, there are promotional images from 'Marvel Animation' featuring characters like Spider-Man and Deadpool, suggesting that this content may be related to comic book adaptations or fan art.",marvel animation character design process,52
40,13,QKxlWloBW2o.mp4,https://www.youtube.com/watch?v=QKxlWloBW2o,"The video features a person in a dark blue shirt sitting at a desk with a tablet and keyboard, drawing on the screen. The environment is an indoor setting with bookshelves filled with various books in the background. Initially, the person sketches a character's face using black ink, adding details like hair texture and facial features. They then draw another character's head and neck, focusing on shading to create depth. Throughout these scenes, the lighting remains consistent, highlighting the workspace and the artist's hand movements as they work. In one frame, text appears over the image of the sketching process, possibly indicating steps or tips for drawing. Towards the end, there are promotional images from 'Marvel Animation' featuring characters like Spider-Man and Deadpool, suggesting that this content may be related to comic book adaptations or fan art.",digital art tutorial drawing comic book faces,52
41,13,QKxlWloBW2o.mp4,https://www.youtube.com/watch?v=QKxlWloBW2o,"The video features a person in a dark blue shirt sitting at a desk with a tablet and keyboard, drawing on the screen. The environment is an indoor setting with bookshelves filled with various books in the background. Initially, the person sketches a character's face using black ink, adding details like hair texture and facial features. They then draw another character's head and neck, focusing on shading to create depth. Throughout these scenes, the lighting remains consistent, highlighting the workspace and the artist's hand movements as they work. In one frame, text appears over the image of the sketching process, possibly indicating steps or tips for drawing. Towards the end, there are promotional images from 'Marvel Animation' featuring characters like Spider-Man and Deadpool, suggesting that this content may be related to comic book adaptations or fan art.",artist sketching spiderman and deadpool fan art,52
42,14,x0-ZshsV35I.mp4,https://www.youtube.com/watch?v=x0-ZshsV35I,"The video opens with a medium shot of two characters in dark attire, one holding what appears to be a weapon. The scene shifts to an indoor setting where another character is seen from behind, suggesting they are part of the same group or team. A close-up follows of a person's hand operating machinery, indicating some form of control or operation. Subsequently, there's a wide shot showing multiple vehicles on a road, implying travel or movement across different locations. Another frame shows a motorcycle speeding down a deserted street, hinting at action or escape. The final frames depict a chaotic environment with debris and people running, possibly after an event has occurred. Throughout these scenes, text overlays such as 'WE ARE THE THUNDERBOLTS' and 'THE THUN DER BOLT S' appear, reinforcing the theme of the group's identity.",thunderbolts team introduction scene,29
